,episode,score,avg_score,epsilon
456,456,-72.25972124022951,28.76595461004703,0.01
457,457,167.33534485967544,28.81072845988134,0.01
458,458,-160.74887948664332,27.195558841980063,0.01
459,459,125.80944096083806,26.77762393720926,0.01
460,460,-299.62669884875646,21.60192901549004,0.01
461,461,-105.03295271015944,20.797566064006094,0.01
462,462,-129.33989113600998,18.663590891408305,0.01
463,463,237.740951330713,19.605639812480828,0.01
464,464,-233.66761733587725,15.349081107650104,0.01
465,465,157.36086069598,16.447439569594973,0.01
466,466,-212.2763686768094,14.61023822487037,0.01
467,467,194.94070890120028,15.998692092806571,0.01
468,468,-352.95120544208214,15.200609299978323,0.01
469,469,232.36990602629785,20.098733040843687,0.01
470,470,37.383750603818385,21.949322129879643,0.01
471,471,203.12679667619523,25.21384097108111,0.01
472,472,232.75286946472087,26.456368499859327,0.01
473,473,274.5586659003105,29.479417571738026,0.01
474,474,-205.59670301414718,26.749767236248612,0.01
475,475,-147.98532682623647,27.41397734055646,0.01
476,476,-20.935580740132465,27.66836441970062,0.01
477,477,-83.02687442734835,26.950886943130314,0.01
478,478,-224.1726445730985,26.36210619752374,0.01
479,479,173.54208616167205,25.7158383011562,0.01
480,480,208.67204216219028,27.58206873816148,0.01
481,481,-292.31242560901404,25.47500981593401,0.01
482,482,266.77646610533924,27.633687946232822,0.01
483,483,6.073147018635041,26.285645671360285,0.01
484,484,181.11601934135732,26.653690857374958,0.01
485,485,246.71786935167788,27.036399845842766,0.01
486,486,221.36711651096564,30.63583479657195,0.01
487,487,208.85286653747974,30.792400062594492,0.01
488,488,199.97582628560565,30.708042895699517,0.01
489,489,243.41631728900794,33.623395139837626,0.01
490,490,133.46929856523911,35.756719277398936,0.01
491,491,210.59512232256083,38.54220077053038,0.01
492,492,203.17258001350928,41.00389103598495,0.01
493,493,172.1981765051225,41.91567211680522,0.01
494,494,-170.35806912546064,38.17395059935597,0.01
495,495,-219.27895657295835,33.49571168625623,0.01
496,496,-242.2106835701423,31.079464542458535,0.01
497,497,247.11097035643917,33.49730649978105,0.01
498,498,272.827306619273,33.833007798682736,0.01
499,499,253.26622076063063,34.23813220691067,0.01
500,500,253.309568512306,35.211235736709114,0.01
501,501,252.1604340860416,35.65503978779779,0.01
502,502,200.60796576501605,35.62274588222037,0.01
503,503,-48.1591322939367,32.793538449453735,0.01
504,504,-105.88703442764619,32.519173354867974,0.01
505,505,-270.3859600102364,28.365562303054958,0.01
506,506,-345.7736459412545,22.48535715076124,0.01
507,507,-281.5153439527031,17.168038923482783,0.01
508,508,243.3115691653763,17.10217524062927,0.01
509,509,145.71372325271886,16.256541281544454,0.01
510,510,269.8355456543366,16.581198326222008,0.01
511,511,264.19261002520653,20.028704062710943,0.01
512,512,257.5914729878461,20.112463181819646,0.01
513,513,28.74150070526153,20.452432317337824,0.01
514,514,-43.66897687022384,17.478656067633413,0.01
515,515,-67.27235047204086,14.556553074138623,0.01
516,516,242.02297866713724,22.194589407221446,0.01
517,517,-72.18818648672404,20.276647535294117,0.01
518,518,184.9619933547084,27.462364976974158,0.01
519,519,243.98240311299975,27.485582974672674,0.01
520,520,-83.81024950678191,24.670617993083955,0.01
521,521,217.32173423889049,24.65167292643493,0.01
522,522,294.21718034270305,24.668511051642824,0.01
523,523,2.2538929306619053,25.864596263492253,0.01
524,524,248.0045557063018,26.68919672493525,0.01
525,525,288.0925759206423,27.486782899338568,0.01
526,526,-81.76122774358275,28.799905563437868,0.01
527,527,261.32518113036633,28.702568632573904,0.01
528,528,167.9439436193308,28.25583280994563,0.01
529,529,272.20256641479654,28.93374620033652,0.01
530,530,-136.90114749163348,25.831403071703008,0.01
531,531,-280.5266295713436,21.592551480510288,0.01
